community_id,top_10_mesh_terms
n2-2789,"Humans;Female;Cell Proliferation;Animals;Fluorescent Antibody Technique;Blotting, Western;Homeodomain Proteins / genetics;Stem Cells / metabolism;Induced Pluripotent Stem Cells / metabolism;Octamer Transcription Factor-3 / metabolism"
n2-2790,"Humans;Cell Line;Gene Knockdown Techniques;Phosphorylation / drug effects;Myeloid Cells / cytology*;Diketopiperazines;Interleukin-10 / metabolism;Extracellular Signal-Regulated MAP Kinases / metabolism;Neoplasm Proteins / deficiency;T-Lymphocytes, Regulatory / immunology"
n2-2791,"Biomarkers, Tumor / metabolism*;Prognosis;Humans;NM23 Nucleoside Diphosphate Kinases / metabolism*;Digestive System Neoplasms / metabolism;Biomarkers, Tumor / genetics;Digestive System Neoplasms / pathology*;Digestive System Neoplasms / genetics;Gene Expression Regulation, Neoplastic"
n2-2792,"Humans;Carcinoma, Hepatocellular / therapy*;Prognosis;Cytokine-Induced Killer Cells / immunology*;Carcinoma, Hepatocellular / immunology;Liver Neoplasms / therapy*;Adjuvants, Immunologic / therapeutic use*;Immunotherapy*;Cytokine-Induced Killer Cells / transplantation;Combined Modality Therapy"
n2-2793,"Bacteriophage M13 / genetics*;Base Composition / genetics;Genome, Viral*;High-Throughput Nucleotide Sequencing / methods*;Base Sequence;Nucleic Acid Amplification Techniques*"
n2-2794,"Carcinoma, Ovarian Epithelial;Receptor, ErbB-2 / genetics;Ovary / cytology;Ovarian Neoplasms / genetics;T-Lymphocytes / immunology;Cell Line, Tumor;Epithelial Cells / metabolism;Humans;Ovary / metabolism;Receptor, ErbB-2 / immunology"
n2-2795,"Chromosomes / ultrastructure;Chromosomes, Human, X / genetics;Mutagenesis, Insertional*;Haplotypes;Chromosome Mapping;Male;Humans;Genome, Human;DNA Mutational Analysis;Chromosomes, Human, Pair 8*"
n2-2796,"Proteomics / methods*;Avian Proteins / metabolism*;Egg Proteins / metabolism*;Animals;Spectrometry, Mass, Matrix-Assisted Laser Desorption-Ionization;Chickens;Pigmentation*;Egg Shell / chemistry*;Female;Egg Shell / metabolism*"
n2-2797,"Embryo, Mammalian / cytology;Genetic Loci;Male;Mice;Mice, Transgenic;Transgenes;Chromosome Mapping;Chromosomes, Artificial, Bacterial / genetics*;Organ Specificity;Synaptophysin / genetics*"
n2-2798,"Humans;Aged;Cells, Cultured;Aged, 80 and over;Brain / cytology;Neural Stem Cells / metabolism*;Male;Reverse Transcriptase Polymerase Chain Reaction;Cell Lineage / genetics*;Hepatocytes / metabolism"
n2-2799,"Antigens / metabolism;Humans;CD8-Positive T-Lymphocytes / immunology*;Mutation / genetics;Epitopes / immunology*;Mice;Mice, Transgenic;Diabetes Mellitus, Experimental / pathology*;HEK293 Cells;Programmed Cell Death 1 Receptor / metabolism"
n2-2800,"Plants, Medicinal / chemistry;Mice, Inbred C57BL;Mice, Inbred BALB C;Polysaccharides / isolation & purification;Drugs, Chinese Herbal / pharmacology;Dendritic Cells / drug effects;Dendritic Cells / immunology;Water;Drugs, Chinese Herbal / administration & dosage;Toll-Like Receptor 4 / metabolism"
n2-2801,Humans;Focal Adhesion Protein-Tyrosine Kinases / metabolism*;Kidney Glomerulus / physiopathology;Protein Transport;Down-Regulation;Animals;Hypertension / metabolism;Kidney Glomerulus / physiology*;Kidney Glomerulus / ultrastructure;Fluorescent Antibody Technique
n2-2802,"Animals;Epithelial Cells / metabolism;Active Transport, Cell Nucleus;Histone Deacetylases / metabolism;Polycystic Kidney, Autosomal Dominant / drug therapy*;Dopamine Antagonists / pharmacology;Kidney / pathology;Cell Proliferation / drug effects;Domperidone / therapeutic use;Drug Evaluation, Preclinical / methods"
n2-2803,Biosynthetic Pathways / genetics*;Hemiptera / genetics*;Waxes / metabolism*;Sequence Alignment;Phylogeny;Animals;Gene Expression Profiling;Male;Oligonucleotide Array Sequence Analysis;Transcriptome*
n2-2804,"Basic Helix-Loop-Helix Transcription Factors / metabolism;Basic Helix-Loop-Helix Transcription Factors / genetics*;Anthocyanins / biosynthesis*;Gene Expression Regulation, Plant;Mutation;Plant Proteins / genetics*;Plant Proteins / metabolism;Hypocotyl / genetics;Solanum lycopersicum / genetics;Solanum lycopersicum / physiology"
n2-2805,Seedlings / growth & development;Biomass;Zea mays / growth & development;Edible Grain / drug effects;Photosynthesis / drug effects;Seasons;Water / metabolism*;Plant Leaves / drug effects;Edible Grain / growth & development;Fertilizers*
n2-2806,Principal Component Analysis;Trees / microbiology;Biomass;Carbon Dioxide / metabolism*;Bacteria / metabolism;Bacterial Proteins / chemistry*;Soil Microbiology*;Acid Phosphatase / chemistry;China;beta-Fructofuranosidase / chemistry
n2-2807,Body Weight / physiology;Diagnostic and Statistical Manual of Mental Disorders;Prognosis;Disease Progression;Female;Male;Biomarkers;Humans;Cognitive Dysfunction / epidemiology*;Lewy Body Disease / epidemiology*
n2-2808,"NF-kappa B / antagonists & inhibitors;Benzylisoquinolines / pharmacology*;Signal Transduction / drug effects*;Microglia / drug effects*;Mice;Interleukin-1beta / biosynthesis;CD11b Antigen / metabolism;Cell Line, Transformed;Extracellular Signal-Regulated MAP Kinases / antagonists & inhibitors;Gene Expression"
n2-2809,Plant Stems / metabolism;Plant Proteins / physiology;Gene Expression Profiling;Oryza / growth & development;Plant Proteins / metabolism;Water / metabolism*;Phosphorylation;Oryza / metabolism*;Plant Proteins / genetics;Starch / metabolism*
n2-2810,"Male;Female;Humans;Middle Aged;Adult;Animals;Rats, Inbred SHR;Non-alcoholic Fatty Liver Disease / pathology;Liver Cirrhosis / pathology;Risk Factors"
n2-2811,"Neoplasms / genetics*;Biomarkers, Tumor / genetics*;Transcriptome*;DNA Repair / genetics*;Humans;Tumor Cells, Cultured;Antineoplastic Agents / pharmacology*;DNA Damage / genetics;Apoptosis / drug effects*;Neoplasms / pathology"
n2-2812,"Intercellular Signaling Peptides and Proteins / chemistry;Diet, High-Fat / adverse effects;Male;Amides / pharmacology;Hypoglycemic Agents / pharmacology*;Obesity / drug therapy*;Mice;Acylation;Amides / chemistry;Anti-Obesity Agents / pharmacology*"
n2-2813,"Animals;Rats;PC12 Cells;Male;Rats, Sprague-Dawley;Depressive Disorder / etiology*;Disease Models, Animal*;Behavior, Animal*;beta 2-Microglobulin / adverse effects*;Anxiety Disorders / etiology*"
n2-2814,Plant Diseases / microbiology*;Stramenopiles / isolation & purification;Stramenopiles / genetics*;Endophytes / physiology;Zosteraceae / microbiology*;Spatio-Temporal Analysis;Europe;Endophytes / isolation & purification;Stramenopiles / physiology*;Endophytes / genetics
n2-2815,"Animals;Cell Line, Tumor;Humans;Mice;Receptors, Notch / metabolism;Xenograft Model Antitumor Assays;Melanoma / metabolism*;Amyloid Precursor Protein Secretases / antagonists & inhibitors*;Cell Proliferation / drug effects;Benzazepines / therapeutic use*"
n2-2816,"Magnetic Resonance Imaging;Male;Humans;Diffusion Magnetic Resonance Imaging;Dilatation / methods;Urethra / pathology;Child, Preschool;Ultrasonography;Urinary Tract Infections / diagnostic imaging*;Urography / methods"
n2-2817,"Male;Humans;Mice;Cytochrome P-450 CYP3A / genetics;Mice, SCID;Animals;Cytochrome P-450 CYP3A / metabolism;Hepatocytes / drug effects*;Bile Canaliculi / metabolism;Activation, Metabolic"
n2-2818,"Oncorhynchus / genetics*;Archaeology;Polymerase Chain Reaction / methods*;Bone and Bones / metabolism;DNA / analysis*;Time Factors;Animals;DNA, Mitochondrial / analysis;DNA, Mitochondrial / metabolism;DNA / metabolism"
n2-2819,"Amino Acid Motifs;Gene Expression Regulation, Plant / drug effects;Camellia sinensis / genetics*;Plant Proteins / metabolism;Plant Growth Regulators / pharmacology*;Superoxide Dismutase / genetics*;Protein Interaction Maps;Superoxide Dismutase / metabolism;Conserved Sequence / genetics;Multigene Family*"
n2-2820,"Homeostasis;Animals, Genetically Modified;Receptors, Ionotropic Glutamate / metabolism;Animals;Stimulation, Chemical;Insecta / physiology*;Drosophila Proteins / metabolism;Sensory Thresholds;Cyclic AMP / metabolism;Signal Transduction"
n2-2821,"Protein Binding;Databases, Protein;Proteins / metabolism*;Proteins / chemistry*;Thermodynamics;Protein Folding*;Protein Structure, Secondary;Models, Biological*;Probability;Humans"
n2-2822,"Rats, Sprague-Dawley;Saliva / metabolism;Submandibular Gland / metabolism*;Animals;Gene Expression Profiling;Transcriptome / radiation effects*;Proteome / radiation effects*;Cluster Analysis;Gene Expression Regulation / radiation effects;Submandibular Gland / radiation effects*"
n2-2823,"Arthritis, Psoriatic / psychology*;Middle Aged;Language;Arthritis, Psoriatic / diagnosis*;Psychometrics;Male;Humans;Semantics;Reproducibility of Results;ROC Curve"
n2-2824,"Mice, Inbred C57BL;Male;Mice;Animals;Female;Cells, Cultured;Wound Healing*;Cell Proliferation / drug effects;Epithelium / metabolism*;Keratinocytes / pathology"
n2-2825,Body Weight / physiology;Middle Aged;Male;Humans;Primary Prevention / methods;Risk Assessment;Workplace;Health Promotion / methods;Body Mass Index;Prospective Studies
n2-2826,"Animals;Rats;Disease Models, Animal;Male;Zebrafish Proteins / metabolism*;Animal Fins / physiology*;Rats, Inbred F344;Dopamine / metabolism;Cell Proliferation;Regeneration*"
n2-2827,"Databases, Factual;Computer Simulation;Humans;Sequence Alignment*;Base Sequence;Mutation / genetics;Algorithms*;Sequence Homology, Nucleic Acid;Image Processing, Computer-Assisted / methods*;Molecular Sequence Data"
n2-2828,"Middle Aged;Male;Humans;Female;Incidence;Aged;Vacuolar Proton-Translocating ATPases / blood*;Receptors, Cell Surface / blood*;Propensity Score*;Recurrence"
n2-2829,"Polyamines / metabolism;Mice, Inbred C57BL;Histamine / metabolism;Mice;Eflornithine / pharmacology;NIH 3T3 Cells;Histamine / biosynthesis*;Bone Marrow / metabolism;Kruppel-Like Transcription Factors / metabolism*;Kruppel-Like Factor 4"
n2-2830,Thorax;Humans;Defibrillators*;Equipment Design;Manikins*;Cardiopulmonary Resuscitation / instrumentation
n2-2831,"Oryza / genetics*;Polymorphism, Single Nucleotide / genetics;Genetic Markers;Genes, Plant;Plant Leaves / genetics*;Quantitative Trait, Heritable*;Crosses, Genetic;Inbreeding;Chromosome Mapping*;Seeds / genetics"
n2-2832,"Prognosis;Transcriptome*;Liver Cirrhosis / genetics;Humans;Tissue Fixation;Liver Neoplasms / genetics;Liver Cirrhosis / metabolism;RNA, Messenger / genetics;Liver Cirrhosis / diagnosis;Carcinoma, Hepatocellular / diagnosis"
n2-2833,Male;Microfilament Proteins / physiology*;Humans;Protein Binding / drug effects;Contractile Proteins / metabolism*;Mice;NIH 3T3 Cells;Filamins;Prostatic Neoplasms / pathology;Integrin beta1 / physiology
n2-2834,"Antibodies, Monoclonal / chemistry*;Immunoconjugates / chemistry*;Animals;Cell Line, Tumor;Humans;Breast Neoplasms / drug therapy;Receptor, ErbB-2 / immunology;Breast Neoplasms / pathology;CHO Cells;Cricetinae"
n2-2835,"Humans;Lung Neoplasms / diagnosis*;Lung Neoplasms / immunology;Lung Neoplasms / blood*;Biomarkers, Tumor / blood*;Lung Neoplasms / pathology;Autoantibodies / isolation & purification;Neoplasm Staging;ROC Curve;Publication Bias"
n2-2836,"Apoptosis;Animals;Rats;Up-Regulation*;Hypoxia, Brain / pathology;Myelin Sheath / pathology;Cell Hypoxia;Astrocytes / pathology;Rats, Wistar;Demyelinating Diseases / metabolism*"
n2-2837,Signal Transduction / drug effects;Male;Astrocytes / drug effects;Mice;Protein Transport;Tight Junction Proteins / metabolism;Intracellular Space / metabolism;Edema / metabolism*;Brain Injuries / metabolism*;Stroke / drug therapy
n2-2838,"Humans;Female;Middle Aged;Self Care*;Psychometrics;Male;China;Aged, 80 and over;Reproducibility of Results;Surveys and Questionnaires*"
n2-2839,Aging / genetics;Calcium / metabolism*;Humans;Drosophila melanogaster / metabolism*;Calcium-Calmodulin-Dependent Protein Kinase Type 2 / antagonists & inhibitors;Sequence Alignment;Aging / metabolism*;Intracellular Space / metabolism;Myocardial Contraction* / drug effects;Myocardium / metabolism
n2-2840,Visual Acuity;Cognition*;Male;Humans;Cataract Extraction*;Aged;Female;Cross-Sectional Studies;Surveys and Questionnaires
n2-2841,Life Cycle Stages;Immunity / genetics*;Transcriptome;Animals;Gastrointestinal Tract / immunology*;Gastrointestinal Tract / metabolism;Bombyx / metabolism;Larva / genetics;Bombyx / immunology*;Larva / metabolism
n2-2842,"Blood Glucose / metabolism;Cell Fusion / methods*;Caspase 3 / metabolism;Male;Cell Proliferation;Antigens, CD / metabolism;Islets of Langerhans / cytology*;Cellular Reprogramming;Mice;Gene Expression Regulation"
n2-2843,Recombinant Proteins / metabolism*;Ribonucleases / genetics;Escherichia coli / metabolism*;Ribonucleases / metabolism;Humans;Antimicrobial Cationic Peptides / genetics;Antimicrobial Cationic Peptides / metabolism*;Carrier Proteins / metabolism*
n2-2844,"Catalysis;Surface Properties;Anti-Bacterial Agents / chemistry;Copper / chemistry*;Anti-Bacterial Agents / pharmacology;Titanium / chemistry*;Photochemistry;Coated Materials, Biocompatible* / chemical synthesis;Humans;Nanotubes / chemistry"
n2-2845,"Hypocreales / pathogenicity;Oryza / metabolism;Metabolic Networks and Pathways / genetics;Gene Expression Regulation, Plant*;Oryza / genetics*;Oryza / microbiology;Gene Expression Profiling;Transcriptome*;Hypocreales / physiology;Flowers / metabolism"
n2-2846,"Ecosystem*;Pinaceae / growth & development*;Juniperus / growth & development*;Temperature*;Ecology;Forests*;Climate Change;Tibet;Climate*;History, 21st Century"
n2-2847,"Actinomyces / classification*;Fimbriae, Bacterial / genetics;Actinomyces / genetics*;Fimbriae, Bacterial / classification;Bacterial Proteins / genetics*;Bacterial Proteins / classification"
n2-2848,Animals;Gastrointestinal Microbiome*;Pseudomonas / genetics;Metagenome;Pseudomonas / pathogenicity;Cloaca / microbiology*;Oviducts / microbiology*;Colon / microbiology*;Lactobacillus / genetics;Chickens / microbiology*
n2-2849,"Disease Progression;Middle Aged;Male;Humans;Epithelial-Mesenchymal Transition / drug effects*;Receptors, CCR7 / metabolism*;Receptors, CCR7 / genetics;Cell Line, Tumor;Tumor Microenvironment / drug effects;Pancreatic Neoplasms / pathology*"
n2-2850,"Triple Negative Breast Neoplasms / pathology*;Cell Movement / drug effects;Melatonin / pharmacology*;Gene Expression Regulation, Neoplastic / drug effects;Cell Line, Tumor;Humans;MicroRNAs / genetics*;Cell Proliferation / drug effects;Proto-Oncogene Proteins c-myc / metabolism;Stem Cells / metabolism*"
n2-2851,Male;Humans;Female;Young Adult;Adult;Photic Stimulation;Love*;Face;Food*;Motivation
n2-2852,"Ultraviolet Rays*;HeLa Cells;Humans;DNA Polymerase II / metabolism;Positive Transcriptional Elongation Factor B / metabolism*;Protein Binding / drug effects;Transcription, Genetic / radiation effects*;DNA Polymerase II / chemistry;Protein Binding / radiation effects;Caffeine / pharmacology*"
n2-2853,"Risk;Middle Aged;Polymorphism, Restriction Fragment Length;Proportional Hazards Models;Haplotypes;Longitudinal Studies;Male;Humans;Genetic Predisposition to Disease;Genes, Mitochondrial"
n2-2854,Triticum / genetics*;Plant Leaves / metabolism;Plant Roots / metabolism;Photosynthesis / drug effects*;Nitrogen / pharmacology*;Plant Stems / physiology;Plant Leaves / drug effects;Fertility / drug effects;Agriculture / methods;Ipomoea batatas / drug effects*
n2-2855,"Humans;Female;Muscle, Smooth / pathology;Hirschsprung Disease / metabolism*;Hirschsprung Disease / surgery;Interstitial Cells of Cajal / metabolism*;Myenteric Plexus / pathology*;Infant;Cell Adhesion Molecules, Neuronal / metabolism*;Colon / surgery"
n2-2856,"Resuscitation;Electroencephalography;Male;Coma / physiopathology*;Behavior, Animal / drug effects;Orexin Receptors / genetics;Rats, Wistar;Brain / pathology*;Orexin Receptors / metabolism;Sodium Chloride / pharmacology"
n2-2857,Amino Acid Substitution;Amino Acids / chemistry;Peptoids / chemistry*;Peptoids / pharmacology;Proline / chemistry;Peptides / chemistry*;Amino Acid Sequence;Peptoids / therapeutic use;Sarcosine / chemistry;Alanine / chemistry
n2-2858,"Fatty Acids, Monounsaturated / pharmacology;Gene Expression Regulation, Bacterial / drug effects;Protein Biosynthesis / drug effects*;Signal Transduction / drug effects;Myxococcales / drug effects*;Myxococcales / genetics;Microbiological Techniques;Myxococcales / metabolism;Protein Processing, Post-Translational / drug effects;Eukaryotic Initiation Factor-2 / antagonists & inhibitors*"
n2-2859,"Cell Adhesion;Carcinogenesis / pathology*;Cell Movement;Gangliosides / metabolism*;Cell Line, Tumor;Cell Proliferation;Humans;Melanoma / pathology*;Skin Neoplasms / pathology*;Axons / physiology"
n2-2860,Cyanobacteria / cytology;Photoperiod;Lakes / microbiology;Cyanobacteria / growth & development*;Cyanobacteria / metabolism;Microcystis / growth & development;Microcystis / metabolism;Phosphorus / metabolism*;Microbial Viability;Microcystis / cytology
n2-2861,"Proteins / chemistry*;Humans;Databases, Protein;Amino Acid Motifs*;Amino Acid Sequence;Molecular Sequence Data;Sequence Analysis, Protein;Protein Structure, Secondary*;Amino Acid Motifs;Computational Biology / methods*"
n2-2862,"Humans;Drug Resistance, Neoplasm*;Proto-Oncogene Proteins c-myc / genetics;CCAAT-Enhancer-Binding Protein-beta / metabolism;Tretinoin / pharmacology*;CCAAT-Enhancer-Binding Protein-beta / genetics;Cell Proliferation;K562 Cells;Antineoplastic Agents / pharmacology*;Leukemia, Myeloid, Acute / drug therapy"
n2-2863,"Gene Transfer Techniques*;Humans;Retinal Cone Photoreceptor Cells / pathology*;Retinitis Pigmentosa / physiopathology;Mice;Erythropoietin / genetics*;Retinitis Pigmentosa / therapy*;Vision, Ocular;Genetic Therapy*;Animals"
n2-2864,"Plant Infertility / physiology*;Genes, Plant / genetics;Salvia miltiorrhiza / genetics*;Plant Infertility / genetics;Genes, Plant / physiology*;Salvia miltiorrhiza / physiology*"
n2-2865,"Middle Aged;Male;Humans;Learning*;Reproducibility of Results;Imitative Behavior*;Interpersonal Relations*;Adolescent;Female;Child, Preschool"
n2-2866,Germ Layers / physiology;Signal Transduction / genetics;E2F Transcription Factors / metabolism;Humans;Pluripotent Stem Cells / drug effects*;Cell Culture Techniques;Signal Transduction / drug effects*;Hydroxyquinolines / pharmacology;Germ Layers / cytology;Retinoblastoma Protein / genetics
n2-2867,"Lymph Nodes / pathology;Middle Aged;Lymphatic Metastasis;Nucleic Acid Amplification Techniques / methods*;Endometrial Neoplasms / diagnosis*;Humans;Lymph Nodes / metabolism;Endometrial Neoplasms / pathology;Aged, 80 and over;RNA, Messenger / metabolism*"
n2-2868,"Binding Sites;Promoter Regions, Genetic;ets-Domain Protein Elk-1 / metabolism;Mice;MicroRNAs / antagonists & inhibitors;Transcriptional Activation / genetics;Muscle, Smooth, Vascular / cytology;Proto-Oncogene Proteins c-myb / metabolism*;MicroRNAs / genetics;Antagomirs / metabolism"
n2-2869,Humans;Animals;Male;Manganese / blood;Globus Pallidus / chemistry*;Oxides / pharmacokinetics;Clinical Trials as Topic;Randomized Controlled Trials as Topic;Brain Chemistry*;Sensitivity and Specificity
n2-2870,"Mice, Transgenic;Stem Cells / metabolism;Rats;Cell Line;Animals;Insulin-Secreting Cells / transplantation*;Stem Cell Transplantation;Insulin / genetics;Insulin-Secreting Cells / metabolism;Lentivirus / genetics"
n2-2871,"Mice;Animals;Bronchoalveolar Lavage;Mice, Inbred C57BL;Cell Proliferation / drug effects;Fibroblasts / drug effects;Receptor, Platelet-Derived Growth Factor alpha / antagonists & inhibitors*;Rats;Immunoblotting;Pulmonary Fibrosis / chemically induced*"
n2-2872,"Oryza / genetics*;Phenotype;Sequence Analysis, DNA;Genome, Plant;Gene Transfer, Horizontal;Mutation;Genotype;DNA, Bacterial*;DNA, Plant*;Seeds / genetics*"
n2-2873,"RNA, Small Interfering / genetics*;Transcriptome*;RNA, Small Interfering / metabolism;Algal Proteins / metabolism;Reverse Transcriptase Polymerase Chain Reaction;Batch Cell Culture Techniques;Sequence Alignment;Gene Expression Profiling;Sequence Homology, Amino Acid;MicroRNAs / genetics*"
n2-2874,"Respiratory Tract Infections / microbiology;Virulence Factors / genetics;DNA, Bacterial / metabolism;Phylogeny;Respiratory Tract Infections / pathology*;Humans;Iron / metabolism;China;Alcaligenaceae / classification;Genome, Bacterial*"
n2-2875,"Software;Immune Evasion*;Vaccines / pharmacology;Phylogeny;Sequence Analysis, DNA*;Bacterial Proteins / genetics;Polymorphism, Single Nucleotide*;Streptococcus pneumoniae / genetics*;Molecular Epidemiology;Streptococcus pneumoniae / immunology"
n2-2876,"Lymphocyte Count;Male;Humans;Sepsis / therapy*;Interleukin-6 / immunology;Coculture Techniques;Cell Differentiation;Sepsis / pathology;Rats;Rats, Wistar"
n2-2877,"Case-Control Studies;Linkage Disequilibrium;Point Mutation;Receptors, GABA-A / genetics*;Recombination, Genetic*;Sequence Analysis, DNA;Haplotypes;Schizophrenia / genetics*;Male;Humans"
n2-2878,"Humans;Lymphoma / metabolism*;Gene Expression Profiling;Cell Line, Tumor;Lymphoma / pathology;Monocytes / metabolism*;Cyclic Nucleotide Phosphodiesterases, Type 4 / genetics*;STAT5 Transcription Factor / genetics*;Interleukin-2 / physiology*;Polymerase Chain Reaction"
n2-2879,Homeodomain Proteins / genetics;Tumor Suppressor Proteins / metabolism;Tumor Suppressor Proteins / genetics;Homeodomain Proteins / pharmacology*;Mice;Homeodomain Proteins / metabolism;Neurons / cytology;Dentate Gyrus / embryology;Neural Stem Cells / cytology*;Tumor Suppressor Proteins / pharmacology*
n2-2880,"Superstitions*;Cultural Characteristics*;Longitudinal Studies;Male;Humans;Practice Patterns, Physicians' / statistics & numerical data*;Orthopedics / statistics & numerical data*;Social Behavior;Retrospective Studies;Attitude to Health*"
n2-2881,"Mice, Inbred C57BL;Chemical and Drug Induced Liver Injury / etiology;Liver Failure, Acute / metabolism*;Mice, Inbred BALB C;Male;Hepatocytes / pathology;Killer Cells, Natural / drug effects;Kupffer Cells / drug effects;Mice;Liver Failure, Acute / pathology"
n2-2882,"Male;Humans;Pneumococcal Infections / transmission*;Child, Preschool;Risk Factors;Logistic Models;Vaccines, Conjugate / immunology*;Carrier State / microbiology;Carrier State / transmission*;Adult"
n2-2883,"Mice;Animals;NF-kappa B / metabolism;Dermatitis, Contact / immunology;Tetradecanoylphorbol Acetate;Male;Macrophages / immunology*;Anti-Inflammatory Agents / pharmacology*;Oxidative Stress;Cytokines / metabolism"
n2-2884,"Adenovirus E1 Proteins / genetics*;Adenoviridae / genetics*;Adenoviridae / physiology*;Humans;DNA, Viral / genetics;HEK293 Cells;Diabetes Complications / pathology;Signal Transduction / drug effects;Atherosclerosis / physiopathology;Disease Progression"
n2-2885,Magnetic Resonance Imaging;Male;Humans;Videotape Recording*;Prefrontal Cortex / physiology;Emotions / physiology;Adult;Brain Mapping / methods*;Young Adult;Female
n2-2886,"Collagen / chemistry*;Humans;Tissue Scaffolds / chemistry*;Gold Compounds / pharmacology;Cell Differentiation / drug effects;Collagen / pharmacology;Endothelium, Vascular / physiology*;Mesenchymal Stem Cells / drug effects;Endothelial Cells / drug effects;Gold Compounds / chemistry*"
n2-2887,"Receptors, G-Protein-Coupled / metabolism*;Head and Neck Neoplasms / blood supply;Carcinoma, Squamous Cell / pathology*;Interleukin-6 / metabolism;Interleukin-8 / metabolism;Vascular Endothelial Growth Factor A / metabolism;Animals;Cell Line, Tumor;Head and Neck Neoplasms / pathology*;Humans"
n2-2888,Blood Glucose / metabolism;Prognosis;Middle Aged;Male;Humans;Creatinine / blood;Japan;Risk Factors;Hospital Mortality;Thrombosis / diagnosis*
n2-2889,"Gene Expression Regulation / physiology*;Animals;Palaemonidae* / genetics;Palaemonidae* / metabolism;Transcriptome / physiology*;Polymorphism, Single Nucleotide*;Ovary / metabolism*;Female"
n2-2890,Humans;Male;Animals;Vascular Endothelial Growth Factor A / genetics;Cell Movement;Vascular Endothelial Growth Factor A / metabolism;Kidney / metabolism;Matrix Metalloproteinase 9 / genetics;Kidney Neoplasms / blood supply*;Kidney / pathology*
n2-2891,Transgenes / physiology*;Chickens / metabolism*;Erythropoietin / genetics;Female;Oviducts / metabolism*;Animals;Genetic Vectors / administration & dosage;Male;Humans;Chickens / genetics
n2-2892,Animals;Birds / physiology*;Energy Metabolism / physiology;Least-Squares Analysis;Biological Evolution;Finches;Seasons;Regression Analysis;Physical Exertion;Basal Metabolism / physiology
n2-2893,"Female;Humans;Male;Adult;Young Adult;Brain Mapping;Intelligence Tests;Behavior;Spectroscopy, Near-Infrared*;Autism Spectrum Disorder / physiopathology*"
n2-2894,"Asia, Eastern;Columbidae / virology*;Animal Migration;Disease Reservoirs / virology;Animals;Bunyaviridae Infections / veterinary*;China;Disease Susceptibility / veterinary;Bunyaviridae Infections / transmission;Viremia / veterinary*"
n2-2895,"Neoplasm Proteins / antagonists & inhibitors;Humans;RNA, Small Interfering / metabolism;ATP-Binding Cassette Transporters / metabolism*;Mice;ATP Binding Cassette Transporter, Subfamily G, Member 2;Cell Line, Tumor;Drug Resistance, Neoplasm / drug effects*;Gefitinib;Neoplasm Proteins / metabolism*"
n2-2896,Prognosis;Middle Aged;Cell Proliferation;Humans;Neoplasm Grading;Mitotic Index*;Lymphatic Metastasis;Gene Expression;Breast Neoplasms / mortality;Proportional Hazards Models
n2-2897,"Animals;Humans;Myelin Proteolipid Protein / metabolism*;Oligodendroglia / drug effects;Stem Cells / metabolism;Myelin and Lymphocyte-Associated Proteolipid Proteins / metabolism*;Cell Proliferation / drug effects;Models, Biological;Rats, Wistar;Octoxynol / pharmacology"
n2-2898,"Prognosis;Colorectal Neoplasms / genetics*;Cell Line;Blotting, Western;Cell Line, Tumor;Gene Expression Regulation, Neoplastic / genetics;Humans;Neoplasm Invasiveness / genetics;Lymphatic Metastasis / genetics;MicroRNAs / genetics*"
n2-2899,"Plant Leaves / cytology;Plant Leaves / genetics;Cellular Senescence / genetics;Gene Expression Regulation, Plant / physiology*;Methylation;Cellular Senescence / physiology*;Arabidopsis / genetics;Histones / metabolism*;Epigenesis, Genetic / physiology*;Arabidopsis / growth & development*"
n2-2900,"Phylogeny*;Male;Humans;Infertility, Male / epidemiology;Ureaplasma / isolation & purification;Ureaplasma Infections / microbiology*;Infertility, Female / diagnosis;Semen / microbiology;Ureaplasma Infections / epidemiology;Multilocus Sequence Typing"
n2-2901,"Hot Temperature / adverse effects*;Milk / metabolism;Animals;Pregnancy;Seasons;Cattle;Lactation / physiology*;Stress, Physiological / physiology*;Fertilization / physiology;Female"
n2-2902,"Bacteriophage M13 / genetics*;Base Composition / genetics;Genome, Viral*;High-Throughput Nucleotide Sequencing / methods*;Base Sequence;Nucleic Acid Amplification Techniques*"
n2-2903,"Metapneumovirus / classification;Metapneumovirus / genetics*;Phylogeny;Genome, Viral*;Evolution, Molecular;Humans;Nasopharynx / virology;Recombination, Genetic"
n2-2904,"Male;Humans;Female;Cullin Proteins / physiology*;Cullin Proteins / genetics;Mice, Inbred C57BL;DNA, Complementary / genetics;Cell Proliferation;Mental Retardation, X-Linked / genetics;X Chromosome Inactivation"
n2-2905,"Hydrogen Peroxide / metabolism;Disease Progression;Esophageal Neoplasms / metabolism;Humans;Esophagus / pathology*;Esophageal Neoplasms / genetics;Adenocarcinoma / pathology;Barrett Esophagus / genetics*;Cell Transformation, Neoplastic / genetics;Mutation*"
n2-2906,Middle Aged;Male;Humans;Circadian Rhythm / genetics*;Multiple Sclerosis / genetics*;CLOCK Proteins / genetics*;ARNTL Transcription Factors / genetics*;Genotype;Retrospective Studies;Female
n2-2907,"Middle Aged;Mycobacterium Infections, Nontuberculous / diagnosis*;Male;Humans;Fingers / microbiology;Child, Preschool;Diagnosis, Differential;Mycobacterium marinum / isolation & purification*;Mycobacterium marinum / genetics;Adult"
n2-2908,
